gene_symbol	gene_entrez_id	reference_name	cds_start_min	cds_end_max
C19orf81	342918	19	50649444	50659141
C19orf84	147646	19	51388983	51390511
C1D	10438	2	68042888	68047309
C1GALT1	56913	7	7234319	7243726
C1GALT1C1	29071	X	120626209	120627165
C1GALT1C1L	728819	2	43675374	43676321
C1orf100	200159	1	244364700	244389068
C1orf105	92346	1	172420885	172468593
C1orf109	54955	1	37683122	37689879
C1orf112	55732	1	169795102	169852986
C1orf115	79762	1	220690402	220696730
C1orf116	79098	1	207021957	207027597
C1orf122	127687	1	37808404	37809072
C1orf123	54987	1	53214658	53220574
C1orf127	148345	1	10947662	10982036
C1orf131	128061	1	231224278	231241140
C1orf141	400757	1	67093004	67127239
C1orf146	388649	1	92231420	92245673
C1orf158	93190	1	12746430	12760950
C1orf159	54991	1	1082892	1091542
C1orf162	128346	1	111476028	111478122
C1orf174	339448	1	3889959	3900185
C1orf185	284546	1	51102233	51147770
C1orf189	388701	1	154199426	154206306
C1orf194	127003	1	109106027	109113676
C1orf198	84886	1	230839851	230868511
C1orf21	81563	1	184477509	184619555
C1orf210	149466	1	43282784	43283269
C1orf216	127703	1	35715631	35716320
C1orf226	400793	1	162378913	162383682
C1orf35	79169	1	228101130	228103226
C1orf43	25912	1	154207452	154220406
C1orf50	79078	1	42767311	42775393
C1orf52	148423	1	85252628	85259632
C1orf53	388722	1	197902649	197907219
C1orf54	79630	1	150272817	150280899
C1orf56	54964	1	151047847	151050457
C1orf61	10485	1	156404553	156416838
C1orf68	100129271	1	152719521	152720273
C1orf74	148304	1	209782824	209783633
C1orf87	127795	1	59990672	60072642
C1orf94	84970	1	34177789	34218760
C1QA	712	1	22637616	22639406
C1QB	713	1	22659456	22661385
C1QBP	708	17	5433014	5439072
C1QC	714	1	22644023	22647782
C1QL1	10882	17	44960187	44968047
C1QL2	165257	2	119156801	119158268
C1QL3	389941	10	16514527	16521064
C1QL4	338761	12	49333053	49336476
C1QTNF1	114897	17	79043968	79048087
C1QTNF12	388581	1	1242547	1246689
C1QTNF2	114898	5	160349167	160370636
C1QTNF3	114899	5	34020582	34043124
C1QTNF4	114900	11	47589820	47590809
C1QTNF5	114902	11	119339330	119340396
C1QTNF6	114904	22	37182187	37188212
C1QTNF7	114905	4	15340194	15442798
C1QTNF8	390664	16	1093500	1094921
C1QTNF9	338872	13	24316003	24321767
C1QTNF9B	387911	13	23891288	23896985
C1R	715	12	7080531	7092387
C1RL	51279	12	7096390	7109179
C1S	716	12	7061912	7070650
C2	717	6	31901066	31945356
C20orf141	128653	20	2815184	2815774
C20orf144	128864	20	33662345	33663866
C20orf173	140873	20	35528257	35529372
C20orf194	25943	20	3252571	3407556
C20orf202	400831	20	1203516	1207101
C20orf203	284805	20	32650431	32651151
C20orf204	284739	20	64036323	64038758
C20orf27	54976	20	3754057	3760099
C20orf85	128602	20	58150964	58160821
C20orf96	140680	20	271206	290609
C21orf2	755	21	44330197	44339193
C21orf58	54058	21	46301998	46322737
C21orf62	56245	21	32793761	32794420
C21orf91	54149	21	17793414	17818317
C22orf15	150248	22	23763306	23765753
C22orf23	84645	22	37944174	37953148
C22orf31	25770	22	29058741	29061791
C22orf39	128977	22	19441643	19447798
C22orf42	150297	22	32149539	32159214
C22orf46	79640	22	41690627	41693977
C2CD2	25966	21	41889123	41953647
C2CD2L	9854	11	119107741	119116255
C2CD3	26005	11	74013384	74170791
C2CD4A	145741	15	62067613	62068722
C2CD4B	388125	15	62163889	62164983
C2CD4C	126567	19	407095	408360
C2CD4D	100191040	1	151837927	151838988
C2CD5	9847	12	22449759	22544149
C2CD6	151254	2	201487611	201619129
C2orf15	150590	2	99147467	99150833
C2orf16	84226	2	27576572	27582526
C2orf40	84417	2	106065764	106077925
C2orf42	54980	2	70150355	70181984
C2orf49	79074	2	105337587	105345370
C2orf50	130813	2	11133334	11144110
C2orf54	79919	2	240887069	240895996
C2orf66	401027	2	196807442	196809386
C2orf68	388969	2	85608944	85611983
C2orf69	205327	2	199911438	199925885
C2orf70	339778	2	26562612	26579437
C2orf72	257407	2	231037565	231047020
C2orf73	129852	2	54330975	54360561
C2orf74	339804	2	61163058	61164526
C2orf76	130355	2	119302471	119339958
C2orf78	388960	2	73784309	73816991
C2orf80	389073	2	208165806	208186985
C2orf81	388963	2	74414328	74415890
C2orf88	84281	2	190199860	190200147
C2orf91	400950	2	41938602	41953294
C2orf92	728537	2	97669788	97702800
C3	718	19	6677881	6720588
C3AR1	719	12	8058736	8060184
C3orf14	57415	3	62320471	62333388
C3orf18	51161	3	50559656	50565698
C3orf20	84077	3	14682713	14772874
C3orf22	152065	3	126549867	126553389
C3orf30	152405	3	119146189	119151291
C3orf33	285315	3	155763516	155806251
C3orf36	80111	3	133928305	133928802
C3orf38	285237	3	88150052	88156634
C3orf49	132200	3	63819471	63845051
C3orf52	79669	3	112086407	112116997
C3orf58	205428	3	143972332	143989840
C3orf62	375341	3	49271179	49276871
C3orf67	200844	3	58742459	58937664
C3orf70	285382	3	185083006	185152822
C3orf80	401097	3	160225635	160226378
C3orf84	646498	3	49177635	49191770
C3orf85	401081	3	109136847	109149893
C4A	720	6	31982107	32002539
C4B	721	6	32014845	32035276
C4BPA	722	1	207113025	207144716
C4BPB	725	1	207089531	207099928
C4orf17	84103	4	99513081	99542108
C4orf19	55286	4	37588867	37590999
C4orf3	401152	4	119298778	119304444
C4orf33	132321	4	129102610	129111790
C4orf36	132989	4	86887759	86891519
C4orf45	152940	4	158893702	159035095
C4orf46	201725	4	158669612	158671800
C4orf47	441054	4	185429411	185449643
C4orf48	401115	4	2041994	2043925
C4orf51	646603	4	145680203	145732559
C4orf54	285556	4	99649266	99654647
C5	727	9	120952738	121050245
C5AR1	728	19	47309895	47320829
C5AR2	27202	19	47340799	47341812
C5orf15	56951	5	133956858	133968583
C5orf22	55322	5	31532392	31552901
C5orf24	134553	5	134854900	134857396
C5orf30	90355	5	103275919	103276539
C5orf34	375444	5	43486914	43509338
C5orf38	153571	5	2752264	2755040
C5orf46	389336	5	147896992	147906500
C5orf47	133491	5	173989263	174001214
C5orf49	134121	5	7831849	7851020
C5orf51	285636	5	41904367	41917298
C5orf52	100190949	5	157671614	157679998
C5orf63	401207	5	127047669	127058994
C5orf67	101928448	5	56511721	56556171
C6	729	5	41142824	41203229
C6orf10	10665	6	32292980	32371705
C6orf106	64771	6	34590564	34696602
C6orf118	168090	6	165280056	165309585
C6orf120	387263	6	169702459	169703034
C6orf132	647024	6	42103760	42142443
C6orf136	221545	6	30647231	30652914
C6orf141	135398	6	49550792	49551526
C6orf15	29113	6	31111380	31112554
C6orf163	206412	6	87345099	87365395
C6orf201	404220	6	4087641	4130181
C6orf203	51250	6	107030104	107051235
C6orf222	389384	6	36317355	36330689
C6orf223	221416	6	44000619	44003125
C6orf226	441150	6	42890482	42890787
C6orf47	57827	6	31659062	31659946
C6orf48	50854	6	31837328	31839662
C6orf52	347744	6	10671455	10687549
C6orf58	352999	6	127577185	127591621
C6orf62	81688	6	24706136	24718667
C6orf89	221477	6	36886026	36923440
C7	730	5	40909610	40981572
C7orf25	79020	7	42909634	42912066
C7orf26	79034	7	6590283	6608160
C7orf31	136895	7	25135971	25179307
C7orf33	202865	7	148590925	148615400
C7orf43	55262	7	100155010	100158498
C7orf50	84310	7	997624	1127384
C7orf55-LUC7L2	100996928	7	139341384	139422339
C7orf57	136288	7	48036308	48060271
C7orf61	402573	7	100456751	100464024
C7orf77	154872	7	124777501	124790623
C8A	731	1	56854901	56917715
C8B	732	1	56929403	56965947
C8G	733	9	136945320	136946780
C8orf33	65265	8	145052491	145054156
C8orf34	116328	8	68331012	68818245
C8orf37	157657	8	95247616	95269188
C8orf44	56260	8	66677708	66679953
C8orf48	157773	8	13566991	13567950
C8orf58	541565	8	22599720	22603305
C8orf59	401466	8	85214559	85217498
C8orf74	203076	8	10672665	10700470
C8orf76	84933	8	123220102	123241345
C8orf82	414919	8	144527341	144528915
C8orf86	389649	8	38512386	38528636
C8orf88	100127983	8	90959006	90980434
C8orf89	100130301	8	73241456	73259457
C9	735	5	39285198	39364463
C9orf116	138162	9	135495426	135499850
C9orf129	445577	9	93318397	93335952
C9orf131	138724	9	35041144	35045868
C9orf135	138255	9	69820879	69906135
C9orf152	401546	9	110200947	110207578
C9orf153	389766	9	86221687	86229602
C9orf16	79095	9	128160407	128163614
C9orf24	84688	9	34379075	34397632
C9orf3	84909	9	94759783	95082714
C9orf40	55071	9	74948047	74952610
C9orf43	257169	9	113413493	113429385
C9orf47	286223	9	88990995	88991987
C9orf50	375759	9	129612346	129620573
C9orf57	138240	9	72052295	72060508
C9orf64	84267	9	83939510	83956499
C9orf66	157983	9	214508	215395
C9orf72	203228	9	27548235	27567119
C9orf78	51759	9	129828160	129835220
C9orf84	158401	9	111686769	111780993
C9orf85	138241	9	71911734	71972841
C9orf92	100129385	9	16203965	16253100
CA1	759	8	85328559	85341634
CA10	56934	17	51631583	52157785
CA11	770	19	48638118	48645631
CA12	771	15	63326284	63381719
CA13	377677	8	85245828	85281348
CA14	23632	1	150258128	150264658
CA2	760	8	85464081	85480788
CA3	761	8	85438909	85448152
CA4	762	17	60150034	60159423
CA5A	763	16	87888128	87936449
CA5B	11238	X	15750023	15782663
CA6	765	1	8945886	8974703
CA7	766	16	66844487	66853497
CA8	767	8	60208784	60281146
CA9	768	9	35673959	35681024
CAAP1	79886	9	26842300	26892714
CAB39	51719	2	230760001	230818703
CAB39L	81617	13	49310813	49382909
CABCOCO1	219621	10	61681242	61766012
CABIN1	23523	22	24035517	24178195
CABLES1	91768	18	23135762	23257366
CABLES2	81928	20	62390970	62407275
CABP1	9478	12	120640685	120666899
CABP2	51475	11	67519138	67523325
CABP4	57010	11	67455423	67458658
CABP5	56344	19	48030556	48043921
CABP7	164633	22	29720424	29729568
CABS1	85438	4	70335039	70336226
CABYR	26256	18	24143114	24161515
CACFD1	11094	9	133460066	133468710
CACHD1	57685	1	64470897	64691560
CACNA1A	773	19	13207312	13506223
CACNA1B	774	9	137877933	138121998
CACNA1C	775	12	2053562	2691198
CACNA1D	776	3	53495166	53811405
CACNA1E	777	1	181483744	181798833
CACNA1F	778	X	49205136	49233308
CACNA1G	8913	17	50561459	50626750
CACNA1H	8912	16	1153737	1220993
CACNA1I	8911	22	39570752	39686404
CACNA1S	779	1	201039830	201112338
CACNA2D1	781	7	81950391	82443458
CACNA2D2	9254	3	50364665	50503422
CACNA2D3	55799	3	54122713	55074205
CACNA2D4	93589	12	1793654	1918472
CACNB1	782	17	39175192	39197494
CACNB2	783	10	18140736	18539723
CACNB3	784	12	48814547	48827898
CACNB4	785	2	151839118	152099010
CACNG1	786	17	67044660	67056270
CACNG2	10369	22	36564350	36702575
CACNG3	10368	16	24256754	24361862
CACNG4	27092	17	66964911	67031003
CACNG5	27091	17	66877332	66885239
CACNG6	59285	19	53992877	54012188
CACNG7	59284	19	53912831	53942292
CACNG8	59283	19	53963142	53982848
CACTIN	58509	19	3611922	3626761
CACUL1	143384	10	118686127	118754761
CACYBP	27101	1	175000180	175010078
CAD	790	2	27217551	27243517
CADM1	23705	11	115176473	115504393
CADM2	253559	3	84959607	86066782
CADM3	57863	1	159171765	159200921
CADM4	199731	19	43623329	43639789
CADPS	8618	3	62399405	62875028
CADPS2	93664	7	122320164	122886336
CAGE1	285782	6	7326857	7387172
CALB1	793	8	90060172	90082696
CALB2	794	16	71358792	71389864
CALCA	796	11	14967694	14971191
CALCB	797	11	15074718	15077444
CALCOCO1	57658	12	53711943	53725241
CALCOCO2	10241	17	48841707	48863004
CALCR	799	7	93426355	93486980
CALCRL	10203	2	187346183	187385594
CALD1	800	7	134867733	134968344
CALHM1	255022	10	103455261	103458750
CALHM2	51063	10	103447151	103449940
CALHM3	119395	10	103473212	103479031
CALHM4	221301	6	116543813	116558210
CALHM5	254228	6	116511696	116515988
CALHM6	441168	6	116461420	116463704
CALM1	801	14	90397230	90404716
CALM2	805	2	47160775	47176442
CALM3	808	19	46601434	46609152
CALML3	810	10	5525085	5525534
CALML4	91860	15	68194014	68205375
CALML5	51806	10	5498997	5499437
CALML6	163688	1	1915280	1917192
CALN1	83698	7	71787774	72403368
CALR	811	19	12938679	12943912
CALR3	125972	19	16479130	16496128
CALU	813	7	128748354	128769166
CALY	50632	10	133325826	133328988
CAMK1	8536	3	9757538	9767748
CAMK1D	57118	10	12349818	12828886
CAMK1G	57172	1	209594983	209612874
CAMK2A	815	5	150222709	150289624
CAMK2B	816	7	44220061	44325420
CAMK2D	817	4	113454511	113761067
CAMK2G	818	10	73815014	73874460
CAMK2N1	55450	1	20483648	20485378
CAMK2N2	94032	3	184260156	184261284
CAMK4	814	5	111224483	111484465
CAMKK1	84254	17	3862210	3890729
CAMKK2	10645	12	121240467	121274525
CAMKMT	79823	2	44362007	44772112
CAMKV	79012	3	49859317	49862387
CAMLG	819	5	134738620	134750949
CAMP	820	3	48223502	48225423
CAMSAP1	157922	9	135811308	135907158
CAMSAP2	23271	1	200739827	200858058
CAMSAP3	57662	19	7596002	7618056
CAMTA1	23261	1	6785530	7766490
CAMTA2	23125	17	4968705	4987628
CAND1	55832	12	67269717	67312829
CAND2	23066	3	12796720	12833981
CANT1	124583	17	78993549	78997621
CANX	821	5	179705681	179728643
CAP1	10487	1	40059346	40071532
CAP2	10486	6	17421555	17556441
CAPG	822	2	85394892	85402144
CAPN1	823	11	65182701	65211285
CAPN10	11132	2	240586911	240598679
CAPN11	11131	6	44158848	44183931
CAPN12	147968	19	38730851	38744164
CAPN13	92291	2	30730759	30787324
CAPN14	440854	2	31174680	31205446
CAPN15	6650	16	546838	553515
CAPN2	824	1	223701828	223774856
CAPN3	825	15	42359805	42411772
CAPN5	726	11	77084886	77123869
CAPN6	827	X	111246576	111263935
CAPN7	23473	3	15206495	15251259
CAPN8	388743	1	223541835	223665645
CAPN9	10753	1	230747496	230801595
CAPNS1	826	19	36141011	36149838
CAPNS2	84290	16	55566756	55567502
CAPRIN1	4076	11	34052420	34099366
CAPRIN2	65981	12	30709901	30753762
CAPS	828	19	5914073	5915321
CAPS2	84698	12	75276242	75329858
CAPSL	133690	5	35904544	35921119
CAPZA1	829	1	112619844	112670131
CAPZA2	830	7	116862611	116917866
CAPZA3	93661	12	18738268	18739167
CAPZB	832	1	19339529	19485437
CARD10	29775	22	37491158	37519199
CARD11	84433	7	2906637	2958505
CARD14	79092	17	80181438	80208344
CARD16	114769	11	105041399	105045296
CARD17	440068	11	105099362	105101413
CARD18	59082	11	105138812	105139725
CARD19	84270	9	93096345	93113106
CARD6	84674	5	40841382	40854445
CARD8	22900	19	48211709	48241019
CARD9	64170	9	136364124	136372077
CARF	79800	2	202941902	202983623
CARHSP1	23589	16	8855163	8859327
CARM1	10498	19	10871702	10921756
CARMIL1	55604	6	25279795	25619582
CARMIL2	146206	16	67645246	67657517
CARMIL3	90668	14	24052153	24069403
CARNMT1	138199	9	74983766	75028240
CARNS1	57571	11	67416199	67424600
CARS	833	11	3001113	3057366
CARS2	79587	13	110641536	110706092
CARTPT	9607	5	71719293	71720614
CASC1	55259	12	25108547	25195077
CASC10	399726	10	21495599	21496813
CASC3	22794	17	40140548	40169620
CASC4	113201	15	44289029	44413405
CASD1	64921	7	94510084	94555757
CASK	8573	X	41520419	41922987
CASKIN1	57524	16	2178549	2196431
CASKIN2	57513	17	75501079	75513803
CASP1	834	11	105026257	105035112
CASP10	843	2	201185777	201229082
CASP14	23581	19	15052251	15056088
CASP2	835	7	143288455	143305070
CASP3	836	4	184629271	184638452
CASP4	837	11	104944752	104968524
CASP5	838	11	104995743	105023135
CASP6	839	4	109689329	109703394
CASP7	840	10	113679754	113729539
CASP8	841	2	201258231	201286593
CASP9	842	1	15492942	15524199
CASQ1	844	1	160190751	160201375
CASQ2	845	1	115701240	115768540
CASR	846	3	122254189	122285190
CASS4	57091	20	56412458	56458746
CAST	831	5	96662422	96771678
CASTOR1	652968	22	30285619	30289496
CASTOR2	729438	7	74964985	75024698
CASTOR3	352954	7	100223617	100271982
CASZ1	54897	1	10638941	10693888
CAT	847	11	34439013	34471432
CATIP	375307	2	218356884	218367963
CATSPER1	117144	11	66016889	66026378
CATSPER2	117155	15	43630700	43648833
CATSPER3	347732	5	134967991	135011622
CATSPER4	378807	1	26190627	26202541
CATSPERB	79820	14	91580888	91729478
CATSPERD	257062	19	5720737	5778675
CATSPERE	257044	1	244461429	244640080
CATSPERG	57828	19	38337234	38370791
CAV1	857	7	116525062	116559286
CAV2	858	7	116499781	116506158
CAV3	859	3	8733876	8745866
CAVIN1	284119	17	42404686	42423096
CAVIN2	8436	2	191835922	191846924
CAVIN3	112464	11	6319162	6320475
CAVIN4	347273	9	100578143	100586450
CBARP	255057	19	1230892	1236099
CBFA2T2	9139	20	33490267	33644645
CBFA2T3	863	16	88876975	88976806
CBFB	865	16	67029407	67098777
CBL	867	11	119206417	119299780
CBLB	868	3	105658969	105868237
CBLC	23624	19	44777931	44800442
CBLL1	79872	7	107744163	107759177
CBLL2	158506	X	22272991	22274268
CBLN1	869	16	49279403	49281464
CBLN2	147381	18	72538175	72542159
CBLN3	643866	14	24427788	24429053
CBLN4	140689	20	55998556	56004170
CBR1	873	21	36070115	36072881
CBR3	874	21	36135192	36146511
CBR4	84869	4	168990149	169010088
CBS	875	21	43053879	43072192
CBSL	102724560	21	6445557	6463870
CBWD1	55871	9	121466	178968
CBWD2	150472	2	113437868	113495742
CBWD3	445571	9	68242031	68299586
CBWD5	220869	9	65675976	65733615
CBWD6	644019	9	41131733	41189257
CBX1	10951	17	48071434	48077003
CBX2	84733	17	79778235	79785041
CBX3	11335	7	26202998	26212207
CBX4	8535	17	79833958	79839250
CBX5	23468	12	54241754	54257649
CBX6	23466	22	38866208	38872189
CBX7	23492	22	39133890	39152443
CBX8	57332	17	79794634	79796997
CBY1	25776	22	38665594	38673235
CBY3	646019	5	179678582	179680917
CC2D1A	54862	19	13906441	13930394
CC2D1B	200014	1	52353518	52364619
CC2D2A	57545	4	15475932	15601424
CC2D2B	387707	10	95913425	96032007
CCAR1	55749	10	68722504	68791265
CCAR2	57805	8	22605773	22619681
CCBE1	147372	18	59435907	59697341
CCDC102A	92922	16	57512740	57529176
CCDC102B	79839	18	68836763	69054136
CCDC103	388389	17	44900998	44902816
CCDC105	126402	19	15010825	15023118
CCDC106	29903	19	55649046	55652745
CCDC107	203260	9	35658379	35661186
CCDC110	256309	4	185445501	185471682
CCDC112	153733	5	115267875	115296542
CCDC113	29070	16	58250014	58279776
CCDC114	93233	19	48296975	48318770
CCDC115	84317	2	130339119	130342228
CCDC116	164592	22	21633181	21637069
CCDC117	150275	22	28772849	28786325
CCDC12	151903	3	46922056	46976770
CCDC120	90060	X	49062041	49068657
CCDC121	79635	2	27626962	27628762
CCDC122	160857	13	43837279	43869375
CCDC124	115098	19	17936420	17943714
CCDC125	202243	5	69282728	69320539
CCDC126	90693	7	23611315	23643114
CCDC127	133957	5	205296	216848
CCDC129	223075	7	31529768	31658391
CCDC13	152206	3	42708979	42758344
CCDC130	81576	19	13751808	13763067
CCDC134	79879	22	41808890	41825822
CCDC136	64753	7	128791493	128817858
CCDC137	339230	17	81666766	81672703
CCDC138	165055	2	108786822	108876252
CCDC14	64770	3	123914778	123961316
CCDC140	151278	2	222303902	222304393
CCDC141	285025	2	178877903	179049940
CCDC142	84865	2	74474545	74482836
CCDC144A	9720	17	16690400	16773528
CCDC144NL	339184	17	20865414	20896019
CCDC146	57639	7	77167668	77294865
CCDC148	130940	2	158172112	158456438
CCDC149	91050	4	24808388	24912878
CCDC15	80071	11	124954732	125040710
CCDC150	284992	2	196639766	196732561
CCDC151	115948	19	11420834	11435015
CCDC152	100129792	5	42759121	42799780
CCDC153	283152	11	119190299	119195486
CCDC155	147872	19	49390883	49417509
CCDC157	550631	22	30366000	30376744
CCDC158	339965	4	76313169	76403206
CCDC159	126075	19	11346606	11354876
CCDC160	347475	X	134244800	134245777
CCDC163	126661	1	45495446	45499608
CCDC166	100130274	8	143706693	143708108
CCDC167	154467	6	37483185	37499862
CCDC168	643677	13	102729450	102758931
CCDC169	728591	13	36227200	36297718
CCDC169-SOHLH2	100526761	13	36169033	36283605
CCDC17	149483	1	45620274	45623908
CCDC170	80129	6	151494128	151618146
CCDC171	203238	9	15564088	15971835
CCDC172	374355	10	116325011	116379357
CCDC173	129881	2	169645840	169694326
CCDC174	51244	3	14651836	14671193
CCDC175	729665	14	59505238	59576774
CCDC177	56936	14	69571498	69573621
CCDC178	374864	18	32938010	33412087
CCDC179	100500938	11	22847509	22860420
CCDC18	343099	1	93183361	93278476
CCDC180	100499483	9	97307755	97376893
CCDC181	57821	1	169395046	169424926
CCDC182	101927581	17	57744810	57745271
CCDC183	84960	9	136796397	136807689
CCDC184	387856	12	48184122	48184706
CCDC185	164127	1	223393475	223395346
CCDC186	55088	10	114125142	114163267
CCDC187	399693	9	136281398	136303141
CCDC189	90835	16	30757475	30761747
CCDC190	339512	1	162854764	162859645
CCDC191	57577	3	113965154	114056465
CCDC192	728586	5	127703388	127941467
CCDC196	440184	14	66486502	66498471
CCDC197	256369	14	93998131	94008811
CCDC198	55195	14	57471354	57493714
CCDC22	28952	X	49235636	49250260
CCDC24	149473	1	43991878	43996159
CCDC25	55246	8	27736215	27772539
CCDC27	148870	1	3752481	3771522
CCDC28A	25901	6	138773674	138792802
CCDC28B	79140	1	32201935	32205247
CCDC3	83643	10	12898415	13001569
CCDC30	728621	1	42536484	42654027
CCDC32	90416	15	40532298	40564779
CCDC33	80125	15	74236719	74336052
CCDC34	91057	11	27338820	27363193
CCDC36	339834	3	49211780	49257281
CCDC38	120935	12	95867075	95936508
CCDC39	339829	3	180614920	180679379
CCDC40	55036	17	80036662	80099774
CCDC42	146849	17	8730129	8744608
CCDC43	124808	17	44678855	44689752
CCDC47	57003	17	63746880	63766174
CCDC50	152137	3	191329674	191391759
CCDC51	79714	3	48432407	48435127
CCDC54	84692	3	107377587	107378573
CCDC57	284001	17	82157732	82201943
CCDC58	131076	3	122359868	122383223
CCDC59	29080	12	82353150	82358375
CCDC6	8030	10	59792916	59906423
CCDC60	160777	12	119335176	119540714
CCDC61	729440	19	46003018	46018386
CCDC62	84660	12	122774670	122823418
CCDC63	160762	12	110852954	110907475
CCDC65	85478	12	48904336	48921442
CCDC66	285331	3	56557242	56621617
CCDC68	80323	18	54904357	54942790
CCDC69	26112	5	151183436	151223969
CCDC7	79741	10	32451642	32876392
CCDC70	83446	13	51865378	51866079
CCDC71	64925	3	49162804	49164207
CCDC71L	168455	7	106660188	106660895
CCDC73	493860	11	32602810	32760242
CCDC74A	90557	2	131527970	131533397
CCDC74B	91409	2	130139554	130144995
CCDC77	84318	12	409383	441919
CCDC78	124093	16	722769	726366
CCDC8	83987	19	46411193	46412809
CCDC80	151887	3	112605416	112639904
CCDC81	60494	11	86375163	86422714
CCDC82	79780	11	96353645	96384746
CCDC83	220047	11	85865123	85919509
CCDC84	338657	11	118998197	119015597
CCDC85A	114800	2	56184624	56384354
CCDC85B	11007	11	65890783	65891391
CCDC85C	317762	14	99515245	99603958
CCDC86	79080	11	60842124	60850324
CCDC87	55231	11	66590465	66593014
CCDC88A	55704	2	55291710	55419078
CCDC88B	283234	11	64340266	64357093
CCDC88C	440193	14	91272624	91417689
CCDC89	220388	11	85685005	85686129
CCDC9	26093	19	47258400	47271677
CCDC90B	60492	11	83261910	83286171
CCDC91	55297	12	28257215	28549172
CCDC92	80212	12	123937057	123944304
CCDC93	54520	2	117920342	118013994
CCDC96	257236	4	7041270	7042937
CCDC97	90324	19	41310310	41322714
CCDC9B	388115	15	40335157	40340950
CCER1	196477	12	90953521	90954741
CCER2	643669	19	38909235	38912157
CCHCR1	54535	6	31142591	31157599
CCIN	881	9	36169502	36171268
CCK	885	3	42258097	42263629
CCKAR	886	4	26481637	26490266
CCKBR	887	11	6259928	6271542
CCL1	6346	17	34360558	34363160
CCL11	6356	17	34285808	34287689
CCL13	6357	17	34356526	34358130
CCL14	6358	17	35983800	35986648
CCL15	6359	17	35997766	36001491
CCL16	6360	17	35977565	35981419
CCL17	6361	16	57413932	57415860
CCL18	6362	17	36064342	36071040
CCL19	6363	9	34689818	34691138
CCL2	6347	17	34255349	34256826
CCL20	6364	2	227813911	227817082
CCL21	6366	9	34709393	34710065
CCL22	6367	16	57358816	57363587
CCL23	6368	17	36013196	36017896
CCL24	6369	7	75811795	75813714
CCL25	6370	19	8053049	8062224
CCL26	10344	7	75769692	75772175
CCL27	10850	9	34661943	34662632
CCL28	56477	5	43381859	43412315
CCL3	6348	17	36088671	36090057
CCL3L3	414062	17	36195285	36196672
CCL4	6351	17	36103905	36105311
CCL4L2	9560	17	36211141	36212568
CCL5	6352	17	35872376	35880304
CCL7	6354	17	34270290	34271801
CCL8	6355	17	34319501	34320906
CCM2	83605	7	45000333	45076056
CCM2L	140706	20	32010454	32029801
CCNA1	8900	13	36432621	36442664
CCNA2	890	4	121817637	121823627
CCNB1	891	5	69167262	69177630
CCNB1IP1	57820	14	20311549	20316522
CCNB2	9133	15	59105268	59124876
CCNB3	85417	X	50285163	50351702
CCNC	892	6	99543554	99568526
CCND1	595	11	69641313	69651281
CCND2	894	12	4274040	4300008
CCND3	896	6	41935939	41941648
CCNDBP1	23582	15	43185498	43194840
CCNE1	898	19	29812555	29823776
CCNE2	9134	8	94881631	94894220
CCNF	899	16	2429481	2457019
CCNG1	900	5	163439256	163442564
CCNG2	901	4	77158532	77165923
CCNH	902	5	87392859	87412793
CCNI	10983	4	77048218	77066361
CCNI2	645121	5	132747495	132752969
CCNJ	54619	10	96044393	96058240
CCNJL	79616	5	160253377	160311922
CCNK	8812	14	99492677	99510781
CCNL1	57018	3	157146552	157160093
CCNL2	81669	1	1387230	1399305
CCNO	10309	5	55231374	55233522
CCNQ	92002	X	153588364	153599072
CCNT1	904	12	48693032	48716674
CCNT2	905	2	134918854	134954647
CCNY	219771	10	35337053	35569169
CCNYL1	151195	2	207711896	207753697
CCP110	9738	16	19527881	19551270
CCPG1	9236	15	55356219	55389423
CCR1	1230	3	46203245	46204312
CCR10	2826	17	42679552	42681822
CCR2	729230	3	46357527	46359859
CCR3	1232	3	46264403	46266225
CCR4	1233	3	32953422	32954504
CCR5	1234	3	46372902	46373960
CCR6	1235	6	167136134	167137354
CCR7	1236	17	40554741	40565408
CCR8	1237	3	39332331	39333398
CCR9	10803	3	45894933	45901897
CCRL2	9034	3	46407670	46409113
CCS	9973	11	66593261	66605854
CCSAP	126731	1	229325234	229342464
CCSER1	401145	4	90308284	91599056
CCSER2	54462	10	84371052	84514266
CCT2	10576	12	69585521	69601324
CCT3	7203	1	156309198	156338183
CCT4	10575	2	61868691	61888506
CCT5	22948	5	10250003	10264782
CCT6A	908	7	56051848	56063084
CCT6B	10693	17	34928047	34961392
CCT7	10574	2	73234378	73252860
CCT8	10694	21	29056474	29073589
CCT8L2	150160	22	16590876	16592549
CCZ1	51622	7	5898799	5925686
CCZ1B	221960	7	6799223	6826196
CD101	9398	1	117001817	117034100
CD109	135228	6	73696215	73823632
CD14	929	5	140631855	140633070
CD151	977	11	836069	838191
CD160	11126	1	145728327	145738492
CD163	9332	12	7479868	7503689
CD163L1	283316	12	7357403	7444126
CD164	8763	6	109368278	109382377
CD164L2	388611	1	27379502	27383238
CD177	57126	19	43353714	43362319
CD180	4064	5	67182856	67196640
CD19	930	16	28932000	28938962
CD1A	909	1	158254669	158257689
CD1B	910	1	158328235	158331422
CD1C	911	1	158290064	158293475
CD1D	912	1	158181101	158184149
CD1E	913	1	158353988	158356895
CD2	914	1	116754492	116768782
CD200	4345	3	112333212	112361549
CD200R1	131450	3	112923676	112974856
CD200R1L	344807	3	112815962	112845723
